Date,Retail credit growth 
7/1/2016,8.3
8/1/2016,8.2
9/1/2016,8.2
10/1/2016,6.7
11/1/2016,4.8
12/1/2016,4
1/1/2017,3.5
2/1/2017,3.3
3/1/2017,9
4/1/2017,6
5/1/2017,4.1
6/1/2017,4.8
7/1/2017,5.3
8/1/2017,5.5
9/1/2017,6.1
10/1/2017,6.6
11/1/2017,8.8
12/1/2017,10
1/1/2018,9.5
2/1/2018,9.8
3/1/2018,8.4
4/1/2018,10.7
5/1/2018,11.1
6/1/2018,11.1
7/1/2018,10.6
8/1/2018,12.4
9/1/2018,11.3
10/1/2018,13.4
11/1/2018,13.8
12/1/2018,12.8
1/1/2019,13.1
2/1/2019,13.2
3/1/2019,12.3
4/1/2019,11.9
5/1/2019,11.4
6/1/2019,11.1
7/1/2019,11.4
8/1/2019,9.8
9/1/2019,8.1
10/1/2019,8.3
11/1/2019,7.2
12/1/2019,7
1/1/2020,6.5
2/1/2020,7.3
3/1/2020,6.7
4/1/2020,7.3
5/1/2020,6.8
6/1/2020,6.7
7/1/2020,6.7
8/1/2020,6
9/1/2020,5.8
10/1/2020,5.6
11/1/2020,6
12/1/2020,5.9
1/1/2021,5.7
2/1/2021,6.5
3/1/2021,4.9
4/1/2021,5.7
5/1/2021,5.9
6/1/2021,5.9
7/1/2021,6.2
8/1/2021,6.7
9/1/2021,6.8
10/1/2021,6.9
11/1/2021,7.1
12/1/2021,9.3
1/1/2022,8.3
2/1/2022,8
3/1/2022,9.7
4/1/2022,11.3
5/1/2022,11.8
6/1/2022,13.7
7/1/2022,15.1
8/1/2022,16
9/1/2022,16.9
10/1/2022,18.3
11/1/2022,17.6
12/1/2022,15.3
,9.52
1/1/2023,16.7
2/1/2023,15.9
3/1/2023,15.4
4/1/2023,16.1
5/1/2023,15.6
6/1/2023,16.3
7/1/2023,14.8
8/1/2023,15
9/1/2023,15.3
10/1/2023,15.3
11/1/2023,16.3
12/1/2023,15.8
1/1/2024,16.2
