Date,WALR 
7/1/2016,11.23
8/1/2016,11.23
9/1/2016,11.17
10/1/2016,11.17
11/1/2016,11.17
12/1/2016,11.09
1/1/2017,11.09
2/1/2017,11.09
3/1/2017,10.8
4/1/2017,10.8
5/1/2017,10.8
6/1/2017,10.67
7/1/2017,10.67
8/1/2017,10.67
9/1/2017,10.48
10/1/2017,10.48
11/1/2017,10.48
12/1/2017,10.36
1/1/2018,10.36
2/1/2018,10.36
3/1/2018,10.25
4/1/2018,10.25
5/1/2018,10.25
6/1/2018,10.26
7/1/2018,10.26
8/1/2018,10.26
9/1/2018,10.32
10/1/2018,10.32
11/1/2018,10.32
12/1/2018,10.35
1/1/2019,10.35
2/1/2019,10.35
3/1/2019,10.23
4/1/2019,10.23
5/1/2019,10.23
6/1/2019,10.26
7/1/2019,10.26
8/1/2019,10.26
9/1/2019,10.24
10/1/2019,10.24
11/1/2019,10.24
12/1/2019,10.08
1/1/2020,10.08
2/1/2020,10.08
3/1/2020,9.92
4/1/2020,9.92
5/1/2020,9.92
6/1/2020,9.63
7/1/2020,9.63
8/1/2020,9.63
9/1/2020,9.5
10/1/2020,9.5
11/1/2020,9.5
12/1/2020,9.27
1/1/2021,9.27
2/1/2021,9.27
3/1/2021,9.1
4/1/2021,9.1
5/1/2021,9.1
6/1/2021,9
7/1/2021,9
8/1/2021,9
9/1/2021,8.92
10/1/2021,8.92
11/1/2021,8.92
12/1/2021,8.86
1/1/2022,8.86
2/1/2022,8.86
3/1/2022,8.86
4/1/2022,8.74
5/1/2022,8.74
6/1/2022,8.74
7/1/2022,8.92
8/1/2022,8.92
9/1/2022,8.92
10/1/2022,9.92
11/1/2022,9.92
12/1/2022,9.92
,9.52
1/1/2023,9.52
2/1/2023,9.52
3/1/2023,9.72
4/1/2023,9.72
5/1/2023,9.72
6/1/2023,9.82
7/1/2023,9.82
8/1/2023,9.82
9/1/2023,9.82
10/1/2023,9.82
11/1/2023,9.82
12/1/2023,9.83
1/1/2024,9.83
